"STATISTIC","Statistic Label","TLIST(A1)","Year","C02076V03371","Single year of age","C02710V03278","Ability to speak Irish","UNIT","VALUE"
"F8006C01","Population 3 years and over","2011","2011","024","24 years","12","All Irish speakers","Number","24398"
"F8006C01","Population 3 years and over","2011","2011","024","24 years","13","Non-Irish speakers","Number","36661"
"F8006C01","Population 3 years and over","2011","2011","024","24 years","98","Not stated","Number","1204"
"F8006C01","Population 3 years and over","2011","2011","025","25 years","07","Population","Number","65242"
"F8006C01","Population 3 years and over","2011","2011","025","25 years","12","All Irish speakers","Number","24028"
"F8006C01","Population 3 years and over","2011","2011","025","25 years","13","Non-Irish speakers","Number","39590"
"F8006C01","Population 3 years and over","2011","2011","025","25 years","98","Not stated","Number","1624"
"F8006C01","Population 3 years and over","2011","2011","026","26 years","07","Population","Number","68086"
"F8006C01","Population 3 years and over","2011","2011","026","26 years","12","All Irish speakers","Number","23974"
"F8006C01","Population 3 years and over","2011","2011","026","26 years","13","Non-Irish speakers","Number","42588"
"F8006C01","Population 3 years and over","2011","2011","026","26 years","98","Not stated","Number","1524"
"F8006C01","Population 3 years and over","2011","2011","027","27 years","07","Population","Number","71791"
"F8006C01","Population 3 years and over","2011","2011","027","27 years","12","All Irish speakers","Number","24861"
"F8006C01","Population 3 years and over","2011","2011","027","27 years","13","Non-Irish speakers","Number","45586"
"F8006C01","Population 3 years and over","2011","2011","027","27 years","98","Not stated","Number","1344"
"F8006C01","Population 3 years and over","2011","2011","028","28 years","07","Population","Number","76766"
"F8006C01","Population 3 years and over","2011","2011","028","28 years","12","All Irish speakers","Number","26152"
"F8006C01","Population 3 years and over","2011","2011","028","28 years","13","Non-Irish speakers","Number","49150"
"F8006C01","Population 3 years and over","2011","2011","028","28 years","98","Not stated","Number","1464"
"F8006C01","Population 3 years and over","2011","2011","029","29 years","07","Population","Number","79237"
"F8006C01","Population 3 years and over","2011","2011","029","29 years","12","All Irish speakers","Number","26880"
"F8006C01","Population 3 years and over","2011","2011","029","29 years","13","Non-Irish speakers","Number","50925"
"F8006C01","Population 3 years and over","2011","2011","029","29 years","98","Not stated","Number","1432"
"F8006C01","Population 3 years and over","2011","2011","030","30 years","07","Population","Number","82614"
"F8006C01","Population 3 years and over","2011","2011","030","30 years","12","All Irish speakers","Number","27606"
"F8006C01","Population 3 years and over","2011","2011","030","30 years","13","Non-Irish speakers","Number","52655"
"F8006C01","Population 3 years and over","2011","2011","030","30 years","98","Not stated","Number","2353"
"F8006C01","Population 3 years and over","2011","2011","031","31 years","07","Population","Number","81733"
"F8006C01","Population 3 years and over","2011","2011","031","31 years","12","All Irish speakers","Number","27847"
"F8006C01","Population 3 years and over","2011","2011","031","31 years","13","Non-Irish speakers","Number","52485"
"F8006C01","Population 3 years and over","2011","2011","031","31 years","98","Not stated","Number","1401"
"F8006C01","Population 3 years and over","2011","2011","032","32 years","07","Population","Number","78832"
"F8006C01","Population 3 years and over","2011","2011","032","32 years","12","All Irish speakers","Number","27182"
"F8006C01","Population 3 years and over","2011","2011","032","32 years","13","Non-Irish speakers","Number","50459"
"F8006C01","Population 3 years and over","2011","2011","032","32 years","98","Not stated","Number","1191"
"F8006C01","Population 3 years and over","2011","2011","033","33 years","07","Population","Number","75997"
"F8006C01","Population 3 years and over","2011","2011","033","33 years","12","All Irish speakers","Number","26526"
"F8006C01","Population 3 years and over","2011","2011","033","33 years","13","Non-Irish speakers","Number","48282"
"F8006C01","Population 3 years and over","2011","2011","033","33 years","98","Not stated","Number","1189"
"F8006C01","Population 3 years and over","2011","2011","034","34 years","07","Population","Number","74769"
"F8006C01","Population 3 years and over","2011","2011","034","34 years","12","All Irish speakers","Number","25824"
"F8006C01","Population 3 years and over","2011","2011","034","34 years","13","Non-Irish speakers","Number","47838"
"F8006C01","Population 3 years and over","2011","2011","034","34 years","98","Not stated","Number","1107"
"F8006C01","Population 3 years and over","2011","2011","035","35 years","07","Population","Number","74286"
"F8006C01","Population 3 years and over","2011","2011","035","35 years","12","All Irish speakers","Number","25469"
"F8006C01","Population 3 years and over","2011","2011","035","35 years","13","Non-Irish speakers","Number","47128"
"F8006C01","Population 3 years and over","2011","2011","035","35 years","98","Not stated","Number","1689"
"F8006C01","Population 3 years and over","2011","2011","036","36 years","07","Population","Number","73970"
"F8006C01","Population 3 years and over","2011","2011","036","36 years","12","All Irish speakers","Number","25671"
"F8006C01","Population 3 years and over","2011","2011","036","36 years","13","Non-Irish speakers","Number","47013"
"F8006C01","Population 3 years and over","2011","2011","036","36 years","98","Not stated","Number","1286"
"F8006C01","Population 3 years and over","2011","2011","037","37 years","07","Population","Number","72536"
"F8006C01","Population 3 years and over","2011","2011","037","37 years","12","All Irish speakers","Number","25343"
"F8006C01","Population 3 years and over","2011","2011","037","37 years","13","Non-Irish speakers","Number","46168"
"F8006C01","Population 3 years and over","2011","2011","037","37 years","98","Not stated","Number","1025"
"F8006C01","Population 3 years and over","2011","2011","038","38 years","07","Population","Number","72619"
"F8006C01","Population 3 years and over","2011","2011","038","38 years","12","All Irish speakers","Number","25009"
"F8006C01","Population 3 years and over","2011","2011","038","38 years","13","Non-Irish speakers","Number","46545"
"F8006C01","Population 3 years and over","2011","2011","038","38 years","98","Not stated","Number","1065"
"F8006C01","Population 3 years and over","2011","2011","039","39 years","07","Population","Number","70850"
"F8006C01","Population 3 years and over","2011","2011","039","39 years","12","All Irish speakers","Number","24347"
"F8006C01","Population 3 years and over","2011","2011","039","39 years","13","Non-Irish speakers","Number","45495"
"F8006C01","Population 3 years and over","2011","2011","039","39 years","98","Not stated","Number","1008"
"F8006C01","Population 3 years and over","2011","2011","040","40 years","07","Population","Number","70347"
"F8006C01","Population 3 years and over","2011","2011","040","40 years","12","All Irish speakers","Number","23145"
"F8006C01","Population 3 years and over","2011","2011","040","40 years","13","Non-Irish speakers","Number","45521"
"F8006C01","Population 3 years and over","2011","2011","040","40 years","98","Not stated","Number","1681"
"F8006C01","Population 3 years and over","2011","2011","041","41 years","07","Population","Number","68490"
"F8006C01","Population 3 years and over","2011","2011","041","41 years","12","All Irish speakers","Number","22556"
"F8006C01","Population 3 years and over","2011","2011","041","41 years","13","Non-Irish speakers","Number","44765"
"F8006C01","Population 3 years and over","2011","2011","041","41 years","98","Not stated","Number","1169"
"F8006C01","Population 3 years and over","2011","2011","042","42 years","07","Population","Number","64732"
"F8006C01","Population 3 years and over","2011","2011","042","42 years","12","All Irish speakers","Number","21298"
"F8006C01","Population 3 years and over","2011","2011","042","42 years","13","Non-Irish speakers","Number","42505"
"F8006C01","Population 3 years and over","2011","2011","042","42 years","98","Not stated","Number","929"
"F8006C01","Population 3 years and over","2011","2011","043","43 years","07","Population","Number","64164"
"F8006C01","Population 3 years and over","2011","2011","043","43 years","12","All Irish speakers","Number","21167"
"F8006C01","Population 3 years and over","2011","2011","043","43 years","13","Non-Irish speakers","Number","42128"
"F8006C01","Population 3 years and over","2011","2011","043","43 years","98","Not stated","Number","869"
"F8006C01","Population 3 years and over","2011","2011","044","44 years","07","Population","Number","63079"
"F8006C01","Population 3 years and over","2011","2011","044","44 years","12","All Irish speakers","Number","20399"
"F8006C01","Population 3 years and over","2011","2011","044","44 years","13","Non-Irish speakers","Number","41924"
"F8006C01","Population 3 years and over","2011","2011","044","44 years","98","Not stated","Number","756"
"F8006C01","Population 3 years and over","2011","2011","045","45 years","07","Population","Number","62698"
"F8006C01","Population 3 years and over","2011","2011","045","45 years","12","All Irish speakers","Number","20292"
"F8006C01","Population 3 years and over","2011","2011","045","45 years","13","Non-Irish speakers","Number","41443"
"F8006C01","Population 3 years and over","2011","2011","045","45 years","98","Not stated","Number","963"
"F8006C01","Population 3 years and over","2011","2011","046","46 years","07","Population","Number","63180"
"F8006C01","Population 3 years and over","2011","2011","046","46 years","12","All Irish speakers","Number","20138"
"F8006C01","Population 3 years and over","2011","2011","046","46 years","13","Non-Irish speakers","Number","42192"
"F8006C01","Population 3 years and over","2011","2011","046","46 years","98","Not stated","Number","850"
"F8006C01","Population 3 years and over","2011","2011","047","47 years","07","Population","Number","61369"
"F8006C01","Population 3 years and over","2011","2011","047","47 years","12","All Irish speakers","Number","19930"
"F8006C01","Population 3 years and over","2011","2011","047","47 years","13","Non-Irish speakers","Number","40686"
"F8006C01","Population 3 years and over","2011","2011","047","47 years","98","Not stated","Number","753"
"F8006C01","Population 3 years and over","2011","2011","048","48 years","07","Population","Number","59782"
"F8006C01","Population 3 years and over","2011","2011","048","48 years","12","All Irish speakers","Number","19533"
"F8006C01","Population 3 years and over","2011","2011","048","48 years","13","Non-Irish speakers","Number","39522"
"F8006C01","Population 3 years and over","2011","2011","048","48 years","98","Not stated","Number","727"
"F8006C01","Population 3 years and over","2011","2011","049","49 years","07","Population","Number","58156"
"F8006C01","Population 3 years and over","2011","2011","049","49 years","12","All Irish speakers","Number","19454"
"F8006C01","Population 3 years and over","2011","2011","049","49 years","13","Non-Irish speakers","Number","37962"
"F8006C01","Population 3 years and over","2011","2011","049","49 years","98","Not stated","Number","740"
"F8006C01","Population 3 years and over","2011","2011","050","50 years","07","Population","Number","58441"
"F8006C01","Population 3 years and over","2011","2011","050","50 years","12","All Irish speakers","Number","19792"
"F8006C01","Population 3 years and over","2011","2011","050","50 years","13","Non-Irish speakers","Number","37564"
"F8006C01","Population 3 years and over","2011","2011","050","50 years","98","Not stated","Number","1085"
"F8006C01","Population 3 years and over","2011","2011","051","51 years","07","Population","Number","56126"
"F8006C01","Population 3 years and over","2011","2011","051","51 years","12","All Irish speakers","Number","19669"
"F8006C01","Population 3 years and over","2011","2011","051","51 years","13","Non-Irish speakers","Number","35607"
"F8006C01","Population 3 years and over","2011","2011","051","51 years","98","Not stated","Number","850"
"F8006C01","Population 3 years and over","2011","2011","052","52 years","07","Population","Number","54054"
"F8006C01","Population 3 years and over","2011","2011","052","52 years","12","All Irish speakers","Number","19358"
"F8006C01","Population 3 years and over","2011","2011","052","52 years","13","Non-Irish speakers","Number","33985"
"F8006C01","Population 3 years and over","2011","2011","052","52 years","98","Not stated","Number","711"
"F8006C01","Population 3 years and over","2011","2011","053","53 years","07","Population","Number","53446"
"F8006C01","Population 3 years and over","2011","2011","053","53 years","12","All Irish speakers","Number","19305"
"F8006C01","Population 3 years and over","2011","2011","053","53 years","13","Non-Irish speakers","Number","33472"
"F8006C01","Population 3 years and over","2011","2011","053","53 years","98","Not stated","Number","669"
"F8006C01","Population 3 years and over","2011","2011","054","54 years","07","Population","Number","52319"
"F8006C01","Population 3 years and over","2011","2011","054","54 years","12","All Irish speakers","Number","19032"
"F8006C01","Population 3 years and over","2011","2011","054","54 years","13","Non-Irish speakers","Number","32539"
"F8006C01","Population 3 years and over","2011","2011","054","54 years","98","Not stated","Number","748"
"F8006C01","Population 3 years and over","2011","2011","055","55 years","07","Population","Number","50731"
"F8006C01","Population 3 years and over","2011","2011","055","55 years","12","All Irish speakers","Number","18684"
"F8006C01","Population 3 years and over","2011","2011","055","55 years","13","Non-Irish speakers","Number","31230"
"F8006C01","Population 3 years and over","2011","2011","055","55 years","98","Not stated","Number","817"
"F8006C01","Population 3 years and over","2011","2011","056","56 years","07","Population","Number","50475"
"F8006C01","Population 3 years and over","2011","2011","056","56 years","12","All Irish speakers","Number","18773"
"F8006C01","Population 3 years and over","2011","2011","056","56 years","13","Non-Irish speakers","Number","30943"
"F8006C01","Population 3 years and over","2011","2011","056","56 years","98","Not stated","Number","759"
"F8006C01","Population 3 years and over","2011","2011","057","57 years","07","Population","Number","48474"
"F8006C01","Population 3 years and over","2011","2011","057","57 years","12","All Irish speakers","Number","18108"
"F8006C01","Population 3 years and over","2011","2011","057","57 years","13","Non-Irish speakers","Number","29622"
"F8006C01","Population 3 years and over","2011","2011","057","57 years","98","Not stated","Number","744"
"F8006C01","Population 3 years and over","2011","2011","058","58 years","07","Population","Number","48640"
"F8006C01","Population 3 years and over","2011","2011","058","58 years","12","All Irish speakers","Number","17958"
"F8006C01","Population 3 years and over","2011","2011","058","58 years","13","Non-Irish speakers","Number","29946"
"F8006C01","Population 3 years and over","2011","2011","058","58 years","98","Not stated","Number","736"
"F8006C01","Population 3 years and over","2011","2011","059","59 years","07","Population","Number","46202"
"F8006C01","Population 3 years and over","2011","2011","059","59 years","12","All Irish speakers","Number","16594"
"F8006C01","Population 3 years and over","2011","2011","059","59 years","13","Non-Irish speakers","Number","28867"
"F8006C01","Population 3 years and over","2011","2011","059","59 years","98","Not stated","Number","741"
"F8006C01","Population 3 years and over","2011","2011","060","60 years","07","Population","Number","45365"
"F8006C01","Population 3 years and over","2011","2011","060","60 years","12","All Irish speakers","Number","15662"
"F8006C01","Population 3 years and over","2011","2011","060","60 years","13","Non-Irish speakers","Number","28688"
"F8006C01","Population 3 years and over","2011","2011","060","60 years","98","Not stated","Number","1015"
"F8006C01","Population 3 years and over","2011","2011","061","61 years","07","Population","Number","44765"
"F8006C01","Population 3 years and over","2011","2011","061","61 years","12","All Irish speakers","Number","15220"
"F8006C01","Population 3 years and over","2011","2011","061","61 years","13","Non-Irish speakers","Number","28701"
"F8006C01","Population 3 years and over","2011","2011","061","61 years","98","Not stated","Number","844"
"F8006C01","Population 3 years and over","2011","2011","062","62 years","07","Population","Number","44100"
"F8006C01","Population 3 years and over","2011","2011","062","62 years","12","All Irish speakers","Number","14988"
"F8006C01","Population 3 years and over","2011","2011","062","62 years","13","Non-Irish speakers","Number","28384"
"F8006C01","Population 3 years and over","2011","2011","062","62 years","98","Not stated","Number","728"
"F8006C01","Population 3 years and over","2011","2011","063","63 years","07","Population","Number","43124"
"F8006C01","Population 3 years and over","2011","2011","063","63 years","12","All Irish speakers","Number","14505"
"F8006C01","Population 3 years and over","2011","2011","063","63 years","13","Non-Irish speakers","Number","27874"
"F8006C01","Population 3 years and over","2011","2011","063","63 years","98","Not stated","Number","745"
"F8006C01","Population 3 years and over","2011","2011","064","64 years","07","Population","Number","41432"
"F8006C01","Population 3 years and over","2011","2011","064","64 years","12","All Irish speakers","Number","13869"
"F8006C01","Population 3 years and over","2011","2011","064","64 years","13","Non-Irish speakers","Number","26833"
"F8006C01","Population 3 years and over","2011","2011","064","64 years","98","Not stated","Number","730"
"F8006C01","Population 3 years and over","2011","2011","065","65 years","07","Population","Number","39834"
"F8006C01","Population 3 years and over","2011","2011","065","65 years","12","All Irish speakers","Number","13680"
"F8006C01","Population 3 years and over","2011","2011","065","65 years","13","Non-Irish speakers","Number","25320"
"F8006C01","Population 3 years and over","2011","2011","065","65 years","98","Not stated","Number","834"
"F8006C01","Population 3 years and over","2011","2011","066","66 years","07","Population","Number","36582"
"F8006C01","Population 3 years and over","2011","2011","066","66 years","12","All Irish speakers","Number","12457"
"F8006C01","Population 3 years and over","2011","2011","066","66 years","13","Non-Irish speakers","Number","23324"
"F8006C01","Population 3 years and over","2011","2011","066","66 years","98","Not stated","Number","801"
"F8006C01","Population 3 years and over","2011","2011","067","67 years","07","Population","Number","34761"
"F8006C01","Population 3 years and over","2011","2011","067","67 years","12","All Irish speakers","Number","11601"
"F8006C01","Population 3 years and over","2011","2011","067","67 years","13","Non-Irish speakers","Number","22511"
"F8006C01","Population 3 years and over","2011","2011","067","67 years","98","Not stated","Number","649"
"F8006C01","Population 3 years and over","2011","2011","068","68 years","07","Population","Number","32783"
"F8006C01","Population 3 years and over","2011","2011","068","68 years","12","All Irish speakers","Number","10834"
"F8006C01","Population 3 years and over","2011","2011","068","68 years","13","Non-Irish speakers","Number","21228"
"F8006C01","Population 3 years and over","2011","2011","068","68 years","98","Not stated","Number","721"
"F8006C01","Population 3 years and over","2011","2011","069","69 years","07","Population","Number","29678"
"F8006C01","Population 3 years and over","2011","2011","069","69 years","12","All Irish speakers","Number","9853"
"F8006C01","Population 3 years and over","2011","2011","069","69 years","13","Non-Irish speakers","Number","19180"
"F8006C01","Population 3 years and over","2011","2011","069","69 years","98","Not stated","Number","645"
"F8006C01","Population 3 years and over","2011","2011","070","70 years","07","Population","Number","28165"
"F8006C01","Population 3 years and over","2011","2011","070","70 years","12","All Irish speakers","Number","9116"
"F8006C01","Population 3 years and over","2011","2011","070","70 years","13","Non-Irish speakers","Number","18303"
"F8006C01","Population 3 years and over","2011","2011","070","70 years","98","Not stated","Number","746"
"F8006C01","Population 3 years and over","2011","2011","071","71 years","07","Population","Number","27822"
"F8006C01","Population 3 years and over","2011","2011","071","71 years","12","All Irish speakers","Number","8928"
"F8006C01","Population 3 years and over","2011","2011","071","71 years","13","Non-Irish speakers","Number","18201"
"F8006C01","Population 3 years and over","2011","2011","071","71 years","98","Not stated","Number","693"
"F8006C01","Population 3 years and over","2011","2011","072","72 years","07","Population","Number","26505"
"F8006C01","Population 3 years and over","2011","2011","072","72 years","12","All Irish speakers","Number","8551"
"F8006C01","Population 3 years and over","2011","2011","072","72 years","13","Non-Irish speakers","Number","17335"
"F8006C01","Population 3 years and over","2011","2011","072","72 years","98","Not stated","Number","619"
"F8006C01","Population 3 years and over","2011","2011","073","73 years","07","Population","Number","24637"
"F8006C01","Population 3 years and over","2011","2011","073","73 years","12","All Irish speakers","Number","7788"
"F8006C01","Population 3 years and over","2011","2011","073","73 years","13","Non-Irish speakers","Number","16233"
"F8006C01","Population 3 years and over","2011","2011","073","73 years","98","Not stated","Number","616"
"F8006C01","Population 3 years and over","2011","2011","074","74 years","07","Population","Number","24061"
"F8006C01","Population 3 years and over","2011","2011","074","74 years","12","All Irish speakers","Number","7646"
"F8006C01","Population 3 years and over","2011","2011","074","74 years","13","Non-Irish speakers","Number","15790"
"F8006C01","Population 3 years and over","2011","2011","074","74 years","98","Not stated","Number","625"
"F8006C01","Population 3 years and over","2011","2011","075","75 years","07","Population","Number","23096"
"F8006C01","Population 3 years and over","2011","2011","075","75 years","12","All Irish speakers","Number","7325"
"F8006C01","Population 3 years and over","2011","2011","075","75 years","13","Non-Irish speakers","Number","15075"
"F8006C01","Population 3 years and over","2011","2011","075","75 years","98","Not stated","Number","696"
"F8006C01","Population 3 years and over","2011","2011","076","76 years","07","Population","Number","21734"
"F8006C01","Population 3 years and over","2011","2011","076","76 years","12","All Irish speakers","Number","6910"
"F8006C01","Population 3 years and over","2011","2011","076","76 years","13","Non-Irish speakers","Number","14287"
"F8006C01","Population 3 years and over","2011","2011","076","76 years","98","Not stated","Number","537"
"F8006C01","Population 3 years and over","2011","2011","077","77 years","07","Population","Number","20643"
"F8006C01","Population 3 years and over","2011","2011","077","77 years","12","All Irish speakers","Number","6646"
"F8006C01","Population 3 years and over","2011","2011","077","77 years","13","Non-Irish speakers","Number","13471"
"F8006C01","Population 3 years and over","2011","2011","077","77 years","98","Not stated","Number","526"
"F8006C01","Population 3 years and over","2011","2011","078","78 years","07","Population","Number","18862"
"F8006C01","Population 3 years and over","2011","2011","078","78 years","12","All Irish speakers","Number","6030"
"F8006C01","Population 3 years and over","2011","2011","078","78 years","13","Non-Irish speakers","Number","12319"
"F8006C01","Population 3 years and over","2011","2011","078","78 years","98","Not stated","Number","513"
"F8006C01","Population 3 years and over","2011","2011","079","79 years","07","Population","Number","17701"
"F8006C01","Population 3 years and over","2011","2011","079","79 years","12","All Irish speakers","Number","5811"
"F8006C01","Population 3 years and over","2011","2011","079","79 years","13","Non-Irish speakers","Number","11374"
"F8006C01","Population 3 years and over","2011","2011","079","79 years","98","Not stated","Number","516"
"F8006C01","Population 3 years and over","2011","2011","080","80 years","07","Population","Number","16954"
"F8006C01","Population 3 years and over","2011","2011","080","80 years","12","All Irish speakers","Number","5441"
"F8006C01","Population 3 years and over","2011","2011","080","80 years","13","Non-Irish speakers","Number","10960"
"F8006C01","Population 3 years and over","2011","2011","080","80 years","98","Not stated","Number","553"
"F8006C01","Population 3 years and over","2011","2011","081","81 years","07","Population","Number","15331"
"F8006C01","Population 3 years and over","2011","2011","081","81 years","12","All Irish speakers","Number","4871"
"F8006C01","Population 3 years and over","2011","2011","081","81 years","13","Non-Irish speakers","Number","9925"
